dataset_name,fold,fit_time,score_time,accuracy,balanced_accuracy,precision,recall,roc_auc,average_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,seed,freq,size,noise
simulated_seed3_freq010_size150_noise5_dataset,0,288.4218211174011,0.093048095703125,0.875,0.875,0.8,1.0,0.9722222222222223,0.973575036075036,500,2,1,,10.0,3,10,150,5
simulated_seed3_freq010_size150_noise5_dataset,1,287.8102970123291,0.12758827209472656,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8958333333333334,0.9045787545787547,500,2,1,,10.0,3,10,150,5
simulated_seed3_freq010_size150_noise5_dataset,2,288.1535801887512,0.14729523658752441,0.75,0.75,0.75,0.75,0.8680555555555556,0.8998223783440501,500,2,1,,10.0,3,10,150,5
simulated_seed3_freq010_size150_noise5_dataset,3,287.10179233551025,0.18392586708068848,0.875,0.875,1.0,0.75,0.986111111111111,0.9866452991452991,500,10,1,0.8,20.0,3,10,150,5
simulated_seed3_freq010_size150_noise5_dataset,4,288.6887080669403,0.04765462875366211,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9027777777777778,0.8766906704406704,200,10,5,,,3,10,150,5
simulated_seed3_freq010_size150_noise25_dataset,0,284.96236968040466,0.07944321632385254,0.625,0.625,0.5882352941176471,0.8333333333333334,0.5277777777777778,0.5163764347394378,100,5,1,0.8,10.0,3,10,150,25
simulated_seed3_freq010_size150_noise25_dataset,1,283.4539020061493,0.07060980796813965,0.4583333333333333,0.4583333333333333,0.42857142857142855,0.25,0.5902777777777778,0.6308119712531477,100,10,10,,,3,10,150,25
simulated_seed3_freq010_size150_noise25_dataset,2,283.6942939758301,0.08452486991882324,0.625,0.625,0.5882352941176471,0.8333333333333334,0.7638888888888888,0.7909818130212867,100,5,1,0.8,10.0,3,10,150,25
simulated_seed3_freq010_size150_noise25_dataset,3,283.7910497188568,0.07895970344543457,0.8333333333333334,0.8333333333333333,0.9,0.75,0.9027777777777777,0.91039302473126,100,5,1,0.8,10.0,3,10,150,25
simulated_seed3_freq010_size150_noise25_dataset,4,285.7189438343048,0.03984999656677246,0.5,0.5,0.5,0.5833333333333334,0.6666666666666667,0.7483817796124298,100,5,1,0.8,10.0,3,10,150,25
simulated_seed3_freq010_size150_noise50_dataset,0,283.78032660484314,0.07863974571228027,0.5416666666666666,0.5416666666666666,0.5333333333333333,0.6666666666666666,0.6458333333333334,0.6120061182367684,100,5,1,0.8,10.0,3,10,150,50
simulated_seed3_freq010_size150_noise50_dataset,1,286.3964509963989,0.07348299026489258,0.9583333333333334,0.9583333333333333,1.0,0.9166666666666666,1.0,1.0,500,2,1,0.8,,3,10,150,50
simulated_seed3_freq010_size150_noise50_dataset,2,281.184561252594,0.18238544464111328,0.5833333333333334,0.5833333333333334,0.625,0.4166666666666667,0.7465277777777777,0.696087592962593,500,2,1,0.8,,3,10,150,50
simulated_seed3_freq010_size150_noise50_dataset,3,285.58104372024536,0.08877372741699219,0.5,0.5,0.5,0.3333333333333333,0.7083333333333334,0.7288357747916572,500,2,1,0.8,,3,10,150,50
simulated_seed3_freq010_size150_noise50_dataset,4,285.0471167564392,0.13040685653686523,0.5,0.5,0.5,0.4166666666666667,0.625,0.6554039649434387,500,10,1,0.8,20.0,3,10,150,50
simulated_seed3_freq010_size150_noise60_dataset,0,289.8095326423645,0.06178855895996094,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4236111111111111,0.5728805350086814,100,10,10,0.8,,3,10,150,60
simulated_seed3_freq010_size150_noise60_dataset,1,290.57184195518494,0.07610654830932617,0.375,0.375,0.38461538461538464,0.4166666666666667,0.40972222222222227,0.4748379545054737,500,2,1,,10.0,3,10,150,60
simulated_seed3_freq010_size150_noise60_dataset,2,289.96806263923645,0.0484769344329834,0.25,0.25,0.2857142857142857,0.3333333333333333,0.09722222222222221,0.34306591498382116,100,2,5,0.8,20.0,3,10,150,60
simulated_seed3_freq010_size150_noise60_dataset,3,289.47606587409973,0.2496628761291504,0.4166666666666667,0.41666666666666663,0.4,0.3333333333333333,0.45138888888888884,0.5720649337619151,500,10,1,0.8,20.0,3,10,150,60
simulated_seed3_freq010_size150_noise60_dataset,4,287.5122752189636,0.11570024490356445,0.5,0.5,0.5,0.3333333333333333,0.4930555555555556,0.5276530973899396,100,5,1,0.8,10.0,3,10,150,60
simulated_seed3_freq010_size150_noise70_dataset,0,289.1104733943939,0.06434822082519531,0.4583333333333333,0.45833333333333337,0.46153846153846156,0.5,0.42361111111111116,0.47063492063492063,100,10,10,0.8,,3,10,150,70
simulated_seed3_freq010_size150_noise70_dataset,1,288.12685775756836,0.25084567070007324,0.25,0.25,0.2,0.16666666666666666,0.2638888888888889,0.38940047340361983,200,2,10,0.8,10.0,3,10,150,70
simulated_seed3_freq010_size150_noise70_dataset,2,289.8706910610199,0.0706033706665039,0.375,0.375,0.4,0.5,0.3333333333333333,0.5208184080904164,500,5,10,0.8,20.0,3,10,150,70
simulated_seed3_freq010_size150_noise70_dataset,3,288.7955844402313,0.08218646049499512,0.3333333333333333,0.33333333333333337,0.3,0.25,0.3055555555555556,0.46762601505248563,100,10,10,0.8,,3,10,150,70
simulated_seed3_freq010_size150_noise70_dataset,4,288.73550939559937,0.22498655319213867,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.35416666666666663,0.4369622519916133,500,5,10,,20.0,3,10,150,70
simulated_seed3_freq010_size150_noise80_dataset,0,291.52474904060364,0.09564685821533203,0.25,0.25,0.25,0.25,0.20833333333333331,0.39259620316542515,500,5,10,0.8,20.0,3,10,150,80
simulated_seed3_freq010_size150_noise80_dataset,1,290.6551020145416,0.1632685661315918,0.5416666666666666,0.5416666666666667,0.5454545454545454,0.5,0.3680555555555556,0.44491633673555875,200,2,10,,,3,10,150,80
simulated_seed3_freq010_size150_noise80_dataset,2,291.839786529541,0.07154655456542969,0.4583333333333333,0.4583333333333333,0.47058823529411764,0.6666666666666666,0.3055555555555556,0.4043534256327869,500,5,10,0.8,20.0,3,10,150,80
simulated_seed3_freq010_size150_noise80_dataset,3,290.224276304245,0.20021462440490723,0.4166666666666667,0.41666666666666663,0.4,0.3333333333333333,0.2986111111111111,0.40515143617344457,500,5,10,,20.0,3,10,150,80
simulated_seed3_freq010_size150_noise80_dataset,4,291.0153703689575,0.1192629337310791,0.125,0.125,0.15384615384615385,0.16666666666666666,0.10416666666666669,0.34694390547171877,500,10,5,0.8,10.0,3,10,150,80
simulated_seed3_freq025_size150_noise5_dataset,0,285.75963282585144,0.07301568984985352,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,150,5
simulated_seed3_freq025_size150_noise5_dataset,1,284.0248739719391,0.16724777221679688,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,150,5
simulated_seed3_freq025_size150_noise5_dataset,2,284.9970455169678,0.14684629440307617,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,150,5
simulated_seed3_freq025_size150_noise5_dataset,3,284.7373306751251,0.41594719886779785,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,150,5
simulated_seed3_freq025_size150_noise5_dataset,4,285.2732529640198,0.10234189033508301,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,150,5
simulated_seed3_freq025_size150_noise25_dataset,0,287.2011489868164,0.11149072647094727,0.9166666666666666,0.9166666666666667,1.0,0.8333333333333334,0.9722222222222223,0.9752747252747251,200,5,1,0.8,,3,25,150,25
simulated_seed3_freq025_size150_noise25_dataset,1,282.47417306900024,0.27880311012268066,0.9583333333333334,0.9583333333333333,0.9230769230769231,1.0,1.0,1.0,200,2,10,0.8,10.0,3,25,150,25
simulated_seed3_freq025_size150_noise25_dataset,2,287.90474581718445,0.07426166534423828,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,150,25
simulated_seed3_freq025_size150_noise25_dataset,3,287.68498849868774,0.04708552360534668,1.0,1.0,1.0,1.0,1.0,1.0,100,10,10,,,3,25,150,25
simulated_seed3_freq025_size150_noise25_dataset,4,286.624694108963,0.21201157569885254,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,150,25
simulated_seed3_freq025_size150_noise50_dataset,0,288.9777042865753,0.18513226509094238,0.8333333333333334,0.8333333333333333,0.9,0.75,0.9375,0.9366372053872054,500,10,5,0.8,10.0,3,25,150,50
simulated_seed3_freq025_size150_noise50_dataset,1,289.5546486377716,0.17381858825683594,0.625,0.625,0.6363636363636364,0.5833333333333334,0.826388888888889,0.8616138763197587,500,2,1,,10.0,3,25,150,50
simulated_seed3_freq025_size150_noise50_dataset,2,287.13419699668884,0.22871756553649902,0.7916666666666666,0.7916666666666667,0.7692307692307693,0.8333333333333334,0.8402777777777778,0.8460782545341369,500,5,10,,20.0,3,25,150,50
simulated_seed3_freq025_size150_noise50_dataset,3,289.46432089805603,0.18480873107910156,0.6666666666666666,0.6666666666666667,0.75,0.5,0.798611111111111,0.7909611834244187,500,2,1,,10.0,3,25,150,50
simulated_seed3_freq025_size150_noise50_dataset,4,289.9960296154022,0.07861495018005371,0.7916666666666666,0.7916666666666667,0.8181818181818182,0.75,0.888888888888889,0.9113289760348584,500,2,1,,10.0,3,25,150,50
simulated_seed3_freq025_size150_noise60_dataset,0,288.35296869277954,0.5124828815460205,0.5416666666666666,0.5416666666666666,0.5333333333333333,0.6666666666666666,0.7013888888888888,0.7688174981573319,500,2,1,,10.0,3,25,150,60
simulated_seed3_freq025_size150_noise60_dataset,1,289.7408902645111,0.09197378158569336,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7638888888888888,0.8327287235181973,500,2,1,,10.0,3,25,150,60
